startup_id,founder_id,session,societe,fondateur
C0198,F0255,09/2019,Go Field,Hela Gabsi
C0198,F0256,09/2019,Go Field,Alaa Mokrani
,F0364,09/2019,WanToTrip,Chehrazade Remadi
,F0321,09/2019,WanToTrip,Makrem Hermassi
,F0365,09/2019,Technologia Academy,Mohamed Amine Hlaili
C0199,F0366,09/2019,Kamioun,Fares Belghith
C0199,F0367,09/2019,Kamioun,Abdelrahman Ghariani
C0200,F0368,09/2019,Tuni'AR,Abdelhamid Boukhari
C0200,F0369,09/2019,Tuni'AR,Kalfat Sarra
C0200,F0370,09/2019,Tuni'AR,Mohamed Karim Sakrani
C0201,F0371,09/2019,Athena-IO,Safwen Bouali
C0201,F0372,09/2019,Athena-IO,Cherif Redissi
C0201,F0373,09/2019,Athena-IO,Amine Troudi
C0202,F0374,09/2019,ZOLFA,Adel Jeridi
C0203,F0375,09/2019,GoFields,Youssef Cherif
C0204,F0376,09/2019,Kyto-Prod,Olfa Kilani ep Feki
C0204,F0377,09/2019,Kyto-Prod,Takwa Mrabet
C0204,F0378,09/2019,Kyto-Prod,Safa Ben Khedher
C0204,F0379,09/2019,Kyto-Prod,Mohamed Amine Bourkhis
C0205,F0380,09/2019,SBA Workforce,Perrine Mihelic
C0206,F0381,09/2019,Think-it,Joscha Raue
C0206,F0382,09/2019,Think-it,Mehemed Bougsea
C0207,F0383,09/2019,Servis.tn,Mohamed Aziz Belhadj
C0207,F0384,09/2019,Servis.tn,Jrad Nada Boukhalfa
C0208,F0385,09/2019,HOOLOOS,Mohamed Bhibah
C0208,F0386,09/2019,HOOLOOS,Mehdi Gabsi
C0209,F0387,09/2019,Best-Tech,Mohamed Amine Boubakri
C0210,F0388,09/2019,Digistart,Walid Bousnina
C0210,F0389,09/2019,Digistart,Aymen Hammemi
C0210,F0390,09/2019,Digistart,Chamseddine Bezzaouia
C0211,F0391,10/2019,Fivepoints,Wassim Jouini
C0211,F0392,10/2019,Fivepoints,Mohamed Fares Oueslati
C0212,F0311,10/2019,Datavision,Skander Amor
C0212,F0393,10/2019,Datavision,Borhen Jlidi
C0213,F0394,10/2019,RESRV,Ahmed Taktak
C0213,F0395,10/2019,RESRV,Nabil Gazdar
C0214,F0396,10/2019,NEPTUNE MOSAIC,Zied Abbes
C0215,F0397,10/2019,Taderok,Ahmed Dhieb
C0215,F0398,10/2019,Taderok,Anoir Dhieb
C0216,F0399,10/2019,Intigrow,Bassem Bouguerra
C0216,F0400,10/2019,Intigrow,Nebil Jridet
C0217,F0401,10/2019,Artify,Yahia Mgarrech
C0218,F0402,10/2019,TIRA ROBOTS,Wassim ben Hmida
C0218,F0403,10/2019,TIRA ROBOTS,Azza Attia
C0219,F0404,10/2019,HISTORIAR,Houda Bakir
C0219,F0405,10/2019,HISTORIAR,Jihed Makni
C0220,F0406,10/2019,Couscous Connection,Edriss Kharroubi Essaied
C0220,F0407,10/2019,Couscous Connection,Rachid Kharroubi Essaied
C0221,F0408,10/2019,Neoshop,Donia Fayach
C0221,F0409,10/2019,Neoshop,Ahmed Nsiri
C0222,F0410,10/2019,Swanina,Sana Hafsa
C0223,F0411,10/2019,SMART LOGGER,Mohamed Taghouti
C0223,F0412,10/2019,SMART LOGGER,Mehdi Taghouti
C0224,F0413,10/2019,ProvenMed,Souheil Guessoum
C0224,F0414,10/2019,ProvenMed,Amine Staali
