decision_id;company_name;founder_name;session
S5_D0022;X-P-R;Mohamed Aziz CHAHED;08/2019
S5_D0022;X-P-R;Mohamed Itheb Ben Abbes;08/2019
S5_D0022;X-P-R;Oussama Ouda;08/2019
S5_D0022;X-P-R;Mohamed Chebbi;08/2019
S5_D0023;Plateforme de Formation E-learning;Nasreddine Cherih;08/2019
S5_D0023;Plateforme de Formation E-learning;Marouane El Behi;08/2019
S5_D0024;Oleomar Start-up Projet;Sami Guetari;08/2019
S5_D0024;Oleomar Start-up Projet;Nadia Bouslimi Guetari;08/2019
S5_D0025;UTIK;Makrem Dhifalli;08/2019
S5_D0025;UTIK;Aymen Gatri;08/2019
S5_D0025;UTIK;Mounir Bezzarga;08/2019
S5_D0026;Smart Brand Web;Wajdi El Fehem;08/2019
S5_D0027;MAIZ FARM;Hassen Maiz;08/2019
S5_D0028;MAGNITECHS;Khaled Ben Ali;08/2019
S5_D0028;MAGNITECHS;Fatma Ghizaoui;08/2019
S5_D0028;MAGNITECHS;Mohamed Ben Hadj Hmida;08/2019
S5_D0028;MAGNITECHS;Wajih Gafsi;08/2019
S5_D0028;MAGNITECHS;Mariem Gannouni;08/2019
S6_D0001;iWassel;Yasmine Dahloul;09/2019
S6_D0001;iWassel;Sarra Khemakhem;09/2019
S6_D0001;iWassel;Firas Rhaiem;09/2019
S6_D0002;Farm Trust;Anis Mezghani;09/2019
S6_D0002;Farm Trust;Wassim Khiari;09/2019
S6_D0003;TrustiT;Mohamed Amine Ouni;09/2019
S6_D0004;fixiha.tn;Ahmed Ben Said;09/2019
S6_D0005;Société DOM Services;Khaled Dhifallah Ennefii;09/2019
S6_D0006;The Landlord;Mohamed Farouk Ben Achour;09/2019
S6_D0007;BeNeutron;Zaroui Montasar Mannai Karim;09/2019
S6_D0008;Epilert;Firas Rhaiem;09/2019
S6_D0008;Epilert;Haroun Moula;09/2019
S6_D0008;Epilert;Amine Riahi;09/2019
S6_D0009;Black Dune Studio;Mohamed Ali Hammami Hamad;09/2019
S6_D0009;Black Dune Studio;Mohamed Hamad Abden El Mra;09/2019
S6_D0009;Black Dune Studio;Ahmed EL KADHI;09/2019
S6_D0009;Black Dune Studio;Mohamed BOUABIDI;09/2019
S6_D0009;Black Dune Studio;Ayoub KHAMESSI;09/2019
S6_D0010;Idara Tn;Jelassi Mohamed Amine;09/2019
S6_D0010;Idara Tn;Baklouti Bassem;09/2019
S6_D0010;Idara Tn;Ben Salah Slim;09/2019
S6_D0010;Idara Tn;Nouri Houssem Eddine;09/2019
S6_D0011;Teskerti.tn;Karim Jelliti;09/2019
S6_D0012;GETPAY;Slim MOalla;09/2019
S6_D0012;GETPAY;Salma Moalla;09/2019
S6_D0012;GETPAY;Fares Bouguecha;09/2019
S6_D0013;Go Field;Walid Mzoughi;09/2019
S6_D0013;Go Field;Hela Gabsi;09/2019
S6_D0013;Go Field;Alaa Mokrani;09/2019
S6_D0014;WanToTrip;Chehrazade Remadi;09/2019
S6_D0014;WanToTrip;Makrem Hermassi;09/2019
S6_D0015;Technologia Academy;Mohamed Amine Hlaili;09/2019
S6_D0016;Kamioun;Fares Belghith;09/2019
S6_D0016;Kamioun;Abdelrahman Ghariani;09/2019
S6_D0017;Tuni'AR;Abdelhamid Boukhari;09/2019
S6_D0017;Tuni'AR;Kalfat Sarra;09/2019
S6_D0017;Tuni'AR;Mohamed Karim Sakrani;09/2019
S6_D0018;Athena-IO;Safwen Bouali;09/2019
S6_D0018;Athena-IO;Cherif Redissi;09/2019
S6_D0018;Athena-IO;Amine Troudi;09/2019
S6_D0019;ZOLFA;Adel Jeridi;09/2019
S6_D0020;GoFields;Youssef Cherif;09/2019
S6_D0021;Kyto-Prod;Olfa Kilani ep Feki;09/2019
S6_D0021;Kyto-Prod;Takwa Mrabet;09/2019
S6_D0021;Kyto-Prod;Safa Ben Khedher;09/2019
S6_D0021;Kyto-Prod;Mohamed Amine Bourkhis;09/2019
S6_D0022;SBA Workforce;Perrine Mihelic;09/2019
S6_D0023;Think-it;Joscha Raue;09/2019
S6_D0023;Think-it;Mehemed Bougsea;09/2019
S6_D0024;Servis.tn;Mohamed Aziz Belhadj;09/2019
S6_D0024;Servis.tn;Jrad Nada Boukhalfa;09/2019
S6_D0025;HOOLOOS;Mohamed Bhibah;09/2019
S6_D0025;HOOLOOS;Mehdi Gabsi;09/2019
S6_D0026;Best-Tech;Mohamed Amine Boubakri;09/2019
S6_D0027;Digistart;Walid Bousnina;09/2019
S6_D0027;Digistart;Aymen Hammemi;09/2019
S6_D0027;Digistart;Chamseddine Bezzaouia;09/2019
S7_D0001;Fivepoints;Wassim Jouini;10/2019
S7_D0001;Fivepoints;Mohamed Fares Oueslati;10/2019
S7_D0002;Datavision;Skander Amor;10/2019
S7_D0002;Datavision;Borhen Jlidi;10/2019
S7_D0003;RESRV;Ahmed Taktak;10/2019
S7_D0003;RESRV;Nabil Gazdar;10/2019
S7_D0004;NEPTUNE MOSAIC;Zied Abbes;10/2019
S7_D0005;Taderok;Ahmed Dhieb;10/2019
S7_D0005;Taderok;Anoir Dhieb;10/2019
S7_D0006;Intigrow;Bassem Bouguerra;10/2019
S7_D0006;Intigrow;Nebil Jridet;10/2019
S7_D0007;Artify;Yahia Mgarrech;10/2019
S7_D0008;TIRA ROBOTS;Wassim ben Hmida;10/2019
S7_D0008;TIRA ROBOTS;Azza Attia;10/2019
S7_D0009;HISTORIAR;Houda Bakir;10/2019
S7_D0009;HISTORIAR;Jihed Makni;10/2019
S7_D0010;Couscous Connection;Edriss Kharroubi Essaied;10/2019
S7_D0010;Couscous Connection;Rachid Kharroubi Essaied;10/2019
S7_D0011;Neoshop;Donia Fayach;10/2019
S7_D0011;Neoshop;Ahmed Nsiri;10/2019
S7_D0012;Swanina;Sana Hafsa;10/2019
S7_D0013;SMART LOGGER;Mohamed Taghouti;10/2019
S7_D0013;SMART LOGGER;Mehdi Taghouti;10/2019
S7_D0014;ProvenMed;Souheil Guessoum;10/2019
S7_D0014;ProvenMed;Amine Staali;10/2019
S7_D0014;ProvenMed;Ahmed Boughaleb;10/2019
S7_D0015;Lightency;Jaafar Saied;10/2019
S7_D0015;Lightency;Mohamed Mnif;10/2019
S7_D0015;Lightency;Boubaker Selmi;10/2019
S7_D0016;CURE;Mohamed Dhaouafi;10/2019
S7_D0017;REBOOTKAMP;Lotfi Darragi;10/2019
S7_D0017;REBOOTKAMP;Hugh Bosely;10/2019
S7_D0017;REBOOTKAMP;Tarek Chehidi;10/2019
S7_D0017;REBOOTKAMP;Aymen Ben Hassine;10/2019
S7_D0017;REBOOTKAMP;Bilel Labidi;10/2019
S7_D0018;Tledger;Hichem Ben Fadhl;10/2019
S7_D0018;Tledger;Amine Ben Abderrahman;10/2019
S7_D0019;Sala7li;Mohamed Aymen Ben Hadj Mabrouk;10/2019
S7_D0019;Sala7li;Ines Dhaouadi;10/2019
S7_D0020;TuniBoat;Ahmed Ayadi;10/2019
